id,map,region,region_key,iso_code_ru
1,Russian_Federation_Sqr,Калининградская область,Kaliningradskaya,RU-КЛНГ
2,Russian_Federation_Sqr,Псковская область,Pskovskaya,RU-ПСК
3,Russian_Federation_Sqr,Ленинградская область,Leningradskaya,RU-ЛЕН
4,Russian_Federation_Sqr,Смоленская область,Smolenskaya,RU-СМОЛ
5,Russian_Federation_Sqr,Брянская область,Bryanskaya,RU-БРЯ
6,Russian_Federation_Sqr,Луганская Народная Республики,Luganskaya,RU-ЛНР
7,Russian_Federation_Sqr,Запорожская область,Zaporojskaya,RU-ЗАП
8,Russian_Federation_Sqr,Херсонская область,Hersonskaya,RU-ХРС
9,Russian_Federation_Sqr,Донецкая Народная Республика,Doneckaya,RU-ДНР
10,Russian_Federation_Sqr,Республика Крым,Crimea,RU-КРЫМ
11,Russian_Federation_Sqr,Республика Адыгея,Adygeya,RU-АДЫГ
12,Russian_Federation_Sqr,Карачаево-Черкесская Республика,KarachaevoCherkessia,RU-КЧР
13,Russian_Federation_Sqr,Кабардино-Балкарская Республика,KabardinoBalkaria,RU-КАБ
14,Russian_Federation_Sqr,Республика Северная Осетия - Алания,SevernayaOsetia,RU-ОСЕТ
15,Russian_Federation_Sqr,Республика Ингушетия,Ingushetia,RU-ИНГ
16,Russian_Federation_Sqr,Республика Дагестан,Dagestan,RU-ДАГ
17,Russian_Federation_Sqr,Астраханская область,Astrahanskaya,RU-АСТ
18,Russian_Federation_Sqr,Волгоградская область,Volgogradskaya,RU-ВОЛГ
19,Russian_Federation_Sqr,Саратовская область,Saratovskaya,RU-САР
20,Russian_Federation_Sqr,Оренбургская область,Orenburgskaya,RU-ОРНБ
21,Russian_Federation_Sqr,Республика Башкортостан,Bashkiria,RU-БШК
22,Russian_Federation_Sqr,Челябинская область,Chelabinskaya,RU-ЧЕЛ
23,Russian_Federation_Sqr,Омская область,Omskaya,RU-ОМСК
24,Russian_Federation_Sqr,Республика Алтай,Altay,RU-АЛТ
25,Russian_Federation_Sqr,Республика Тыва,Tyva,RU-ТУВА
26,Russian_Federation_Sqr,Забайкальский край,Zabaykalskiy,RU-ЗАБ
27,Russian_Federation_Sqr,Приморский край,Primorskiy,RU-ПРИ
