id,map,region,region_key,iso_code
1,Russian_Federation_Sqr_ISO,КЛНГ,Kaliningradskaya,RU-KGD
2,Russian_Federation_Sqr_ISO,ПСК,Pskovskaya,RU-PSK
3,Russian_Federation_Sqr_ISO,ЛЕН,Leningradskaya,RU-LEN
4,Russian_Federation_Sqr_ISO,СМОЛ,Smolenskaya,RU-SMO
5,Russian_Federation_Sqr_ISO,БРЯ,Bryanskaya,RU-BRY
6,Russian_Federation_Sqr_ISO,ЛНР,Luganskaya,RU-LNR
7,Russian_Federation_Sqr_ISO,ЗАП,Zaporozhskaya,RU-ZPR
8,Russian_Federation_Sqr_ISO,ХРС,Khersonskaya,RU-KHR
9,Russian_Federation_Sqr_ISO,ДНР,Donetskaya,RU-DNR
10,Russian_Federation_Sqr_ISO,КРЫМ,Crimea,RU-CR
11,Russian_Federation_Sqr_ISO,АДЫГ,Adygeya,RU-AD
12,Russian_Federation_Sqr_ISO,КЧР,KarachaevoCherkessia,RU-KC
13,Russian_Federation_Sqr_ISO,КАБ,KabardinoBalkaria,RU-KB
14,Russian_Federation_Sqr_ISO,ОСЕТ,SevernayaOsetia,RU-SE
15,Russian_Federation_Sqr_ISO,ИНГ,Ingushetia,RU-IN
16,Russian_Federation_Sqr_ISO,ДАГ,Dagestan,RU-DA
17,Russian_Federation_Sqr_ISO,АСТ,Astrahanskaya,RU-AST
18,Russian_Federation_Sqr_ISO,ВОЛГ,Volgogradskaya,RU-VGG
19,Russian_Federation_Sqr_ISO,САР,Saratovskaya,RU-SAR
20,Russian_Federation_Sqr_ISO,ОРНБ,Orenburgskaya,RU-ORE
21,Russian_Federation_Sqr_ISO,БШК,Bashkiria,RU-BA
22,Russian_Federation_Sqr_ISO,ЧЕЛ,Chelabinskaya,RU-CHE
23,Russian_Federation_Sqr_ISO,ОМСК,Omskaya,RU-OMS
24,Russian_Federation_Sqr_ISO,АЛТ,Altay,RU-AL
25,Russian_Federation_Sqr_ISO,ТУВА,Tyva,RU-TY
26,Russian_Federation_Sqr_ISO,ЗАБ,Zabaykalskiy,RU-ZAB
27,Russian_Federation_Sqr_ISO,ПРИ,Primorskiy,RU-PRI
28,Russian_Federation_Sqr_ISO,ЕВР,Evreyskaya,RU-YEV
29,Russian_Federation_Sqr_ISO,ХАБ,Habarovskiy,RU-KHA
30,Russian_Federation_Sqr_ISO,СХЛН,Sahalinskaya,RU-SAK
31,Russian_Federation_Sqr_ISO,МАГ,Magadanskaya,RU-MAG
