id,map,district,district_key,iso_okato,region,region_key,iso_code
1,Altai_Territory,Павловский,_Pavlovsky,RU-ALT-01230000000,Алтайский край   ,Altayskiy,RU-ALT
2,Altai_Territory,Косихинский,_Kosikhinsky,RU-ALT-01218000000,Алтайский край   ,Altayskiy,RU-ALT
3,Altai_Territory,Кытмановский,_Kytmanovsky,RU-ALT-01224000000,Алтайский край   ,Altayskiy,RU-ALT
4,Altai_Territory,Заринский,_Zarinsky,RU-ALT-01204824000,Алтайский край   ,Altayskiy,RU-ALT
5,Altai_Territory,Залесовский,_Zalesovsky,RU-ALT-53223804000,Алтайский край   ,Altayskiy,RU-ALT
6,Altai_Territory,Тальменский,_Talmensky,RU-ALT-01247000000,Алтайский край   ,Altayskiy,RU-ALT
7,Altai_Territory,Калманский,_Kalmansky,RU-ALT-01215000000,Алтайский край   ,Altayskiy,RU-ALT
8,Altai_Territory,Первомайский,_Pervomaisky,RU-ALT-01232000000,Алтайский край   ,Altayskiy,RU-ALT
9,Altai_Territory,Тогульский,_Togulsky,RU-ALT-01248000000,Алтайский край   ,Altayskiy,RU-ALT
10,Altai_Territory,Троицкий,_Troitsky,RU-ALT-01251000000,Алтайский край   ,Altayskiy,RU-ALT
11,Altai_Territory,Целинный,_Celinny,RU-ALT-01257000000,Алтайский край   ,Altayskiy,RU-ALT
12,Altai_Territory,Солтонский,_Soltonsky,RU-ALT-01244000000,Алтайский край   ,Altayskiy,RU-ALT
13,Altai_Territory,Зональный,_Zonalny,RU-ALT-01229000000,Алтайский край   ,Altayskiy,RU-ALT
14,Altai_Territory,Красногорский,_Krasnogorsky,RU-ALT-01219000000,Алтайский край   ,Altayskiy,RU-ALT
15,Altai_Territory,Бийский,_Biysky,RU-ALT-01204000000,Алтайский край   ,Altayskiy,RU-ALT
16,Altai_Territory,Угловский,_Uglovsky,RU-ALT-01253000000,Алтайский край   ,Altayskiy,RU-ALT
17,Altai_Territory,Рубцовский,_Rubtsovsky,RU-ALT-01238000000,Алтайский край   ,Altayskiy,RU-ALT
18,Altai_Territory,Змеиногорский,_Zmeinogorsky,RU-ALT-01214000000,Алтайский край   ,Altayskiy,RU-ALT
19,Altai_Territory,Локтевский,_Loktevsky,RU-ALT-01225000000,Алтайский край   ,Altayskiy,RU-ALT
20,Altai_Territory,Третьяковский,_Tretyakovsky,RU-ALT-01250000000,Алтайский край   ,Altayskiy,RU-ALT
21,Altai_Territory,Чарышский,_Charyshsky,RU-ALT-01254866000,Алтайский край   ,Altayskiy,RU-ALT
22,Altai_Territory,Краснощёковский,_Krasnoshchekovsky,RU-ALT-01220000000,Алтайский край   ,Altayskiy,RU-ALT
23,Altai_Territory,Курьинский,_Kurinsky,RU-ALT-01223000000,Алтайский край   ,Altayskiy,RU-ALT
24,Altai_Territory,Солонешенский,_Soloneshensky,RU-ALT-01243000000,Алтайский край   ,Altayskiy,RU-ALT
25,Altai_Territory,Усть-Калманский,_Ust-Kalmansky,RU-ALT-01254000000,Алтайский край   ,Altayskiy,RU-ALT
26,Altai_Territory,Топчихинский,_Topchikhinsky,RU-ALT-01249000000,Алтайский край   ,Altayskiy,RU-ALT
27,Altai_Territory,Петропавловский,_Petropavlovsky,RU-ALT-01233000000,Алтайский край   ,Altayskiy,RU-ALT
28,Altai_Territory,Усть-Пристанский,_Ust-Pristansky,RU-ALT-01255000000,Алтайский край   ,Altayskiy,RU-ALT
29,Altai_Territory,Алтайский,_Altaisky,RU-ALT-01202000000,Алтайский край   ,Altayskiy,RU-ALT
30,Altai_Territory,Смоленский,_Smolensky,RU-ALT-01240000000,Алтайский край   ,Altayskiy,RU-ALT
31,Altai_Territory,Быстроистокский,_Bystroistoksky,RU-ALT-01207000000,Алтайский край   ,Altayskiy,RU-ALT
32,Altai_Territory,Советский,_Sovetsky,RU-ALT-01242000000,Алтайский край   ,Altayskiy,RU-ALT
33,Altai_Territory,Немецкий национальный,_Nemetsky Natsionalny,RU-ALT-01260000000,Алтайский край   ,Altayskiy,RU-ALT
34,Altai_Territory,Бурлинский,_Burlinsky,RU-ALT-01206000000,Алтайский край   ,Altayskiy,RU-ALT
35,Altai_Territory,Славгород,_Slavgorod,RU-ALT-01419000000,Алтайский край   ,Altayskiy,RU-ALT
36,Altai_Territory,Табунский,_Tabunsky,RU-ALT-01246000000,Алтайский край   ,Altayskiy,RU-ALT
37,Altai_Territory,Хабарский,_Khabarsky,RU-ALT-01256000000,Алтайский край   ,Altayskiy,RU-ALT
38,Altai_Territory,Суетский,_Suyetskiy,RU-ALT-01241000000,Алтайский край   ,Altayskiy,RU-ALT
39,Altai_Territory,Благовещенский,_Blagoveshchenskiy,RU-ALT-01205000000,Алтайский край   ,Altayskiy,RU-ALT
40,Altai_Territory,Завьяловский,_Zavyalovsky,RU-ALT-01211000000,Алтайский край   ,Altayskiy,RU-ALT
41,Altai_Territory,Баевский,_Baevsky,RU-ALT-01203000000,Алтайский край   ,Altayskiy,RU-ALT
42,Altai_Territory,Панкрушихинский,_Pankrushikhinsky,RU-ALT-01231000000,Алтайский край   ,Altayskiy,RU-ALT
43,Altai_Territory,Каменский,_Kamensky,RU-ALT-01216000000,Алтайский край   ,Altayskiy,RU-ALT
44,Altai_Territory,Крутихинский,_Krutikhinsky,RU-ALT-01221000000,Алтайский край   ,Altayskiy,RU-ALT
45,Altai_Territory,Тюменцевский,_Tyumentsevsky,RU-ALT-01252000000,Алтайский край   ,Altayskiy,RU-ALT
46,Altai_Territory,Шелаболихинский,_Shelabolikhinsky,RU-ALT-01245000000,Алтайский край   ,Altayskiy,RU-ALT
47,Altai_Territory,Кулундинский,_Kulundinsky,RU-ALT-01222000000,Алтайский край   ,Altayskiy,RU-ALT
48,Altai_Territory,Родинский,_Rodinsky,RU-ALT-01236000000,Алтайский край   ,Altayskiy,RU-ALT
49,Altai_Territory,Ключевский,_Klyuchevsky,RU-ALT-01249820000,Алтайский край   ,Altayskiy,RU-ALT
50,Altai_Territory,Михайловский,_Mikhailovsky,RU-ALT-01227000000,Алтайский край   ,Altayskiy,RU-ALT
51,Altai_Territory,Волчихинский,_Volchikhinsky,RU-ALT-01208000000,Алтайский край   ,Altayskiy,RU-ALT
52,Altai_Territory,Егорьевский,_Egorievsky,RU-ALT-01209000000,Алтайский край   ,Altayskiy,RU-ALT
53,Altai_Territory,Поспелихинский,_Pospelikhinsky,RU-ALT-01234000000,Алтайский край   ,Altayskiy,RU-ALT
54,Altai_Territory,Новичихинский,_Novichikhinsky,RU-ALT-01228000000,Алтайский край   ,Altayskiy,RU-ALT
55,Altai_Territory,Шипуновский,_Shipunovsky,RU-ALT-01259000000,Алтайский край   ,Altayskiy,RU-ALT
56,Altai_Territory,Романовский,_Romanovsky,RU-ALT-01237000000,Алтайский край   ,Altayskiy,RU-ALT
57,Altai_Territory,Мамонтовский,_Mamontovsky,RU-ALT-01226000000,Алтайский край   ,Altayskiy,RU-ALT
58,Altai_Territory,Ребрихинский,_Rebrikhinsky,RU-ALT-01235000000,Алтайский край   ,Altayskiy,RU-ALT
59,Altai_Territory,Алейский,_Aleisky,RU-ALT-01201000000,Алтайский край   ,Altayskiy,RU-ALT
60,Altai_Territory,Барнаул,_Barnaul,RU-ALT-01401000000,Алтайский край   ,Altayskiy,RU-ALT
61,Altai_Territory,Новоалтайск,Novoaltaisk,RU-ALT-01413000000,Алтайский край   ,Altayskiy,RU-ALT
62,Altai_Territory,Алейск,Aleisk,RU-ALT-01403000000,Алтайский край   ,Altayskiy,RU-ALT
63,Altai_Territory,Заринск,Zarinsk,RU-ALT-01406000000,Алтайский край   ,Altayskiy,RU-ALT
64,Altai_Territory,Ельцовский,_Yeltsovsky,RU-ALT-01210000000,Алтайский край   ,Altayskiy,RU-ALT
65,Altai_Territory,Бийск,Biysk,RU-ALT-01405000000,Алтайский край   ,Altayskiy,RU-ALT
66,Altai_Territory,Белокуриха,Belokurikha,RU-ALT-01404000000,Алтайский край   ,Altayskiy,RU-ALT
67,Altai_Territory,ЗАТО Сибирский,_ZATOSebirsky,RU-ALT-01555000000,Алтайский край   ,Altayskiy,RU-ALT
68,Altai_Territory,Горняк,Gornyak,RU-ALT-01225501000,Алтайский край   ,Altayskiy,RU-ALT
69,Altai_Territory,Змеиногорск,Zmeinogorsk,RU-ALT-01214501000,Алтайский край   ,Altayskiy,RU-ALT
