id,map,fed_district,region,region_key,iso_code
1,Central_Federal_District,Центральный федеральный округ,Тверская обл.,Tverskaya,RU-TVE
2,Central_Federal_District,Центральный федеральный округ,Смоленская обл.,Smolenskaya,RU-SMO
3,Central_Federal_District,Центральный федеральный округ,Ярославская обл.,Yaroslavskaya,RU-YAR
4,Central_Federal_District,Центральный федеральный округ,Брянская обл.,Bryanskaya,RU-BRY
5,Central_Federal_District,Центральный федеральный округ,Калужская область,Kaluzhskaya,RU-KLU
6,Central_Federal_District,Центральный федеральный округ,Московская обл.,Moskovskaya,RU-MOS
7,Central_Federal_District,Центральный федеральный округ,Москва,Moscow,RU-MOW
8,Central_Federal_District,Центральный федеральный округ,Владимирская обл.,Vladimirskaya,RU-VLA
9,Central_Federal_District,Центральный федеральный округ,Ивановская обл.,Ivanovskaya,RU-IVA
10,Central_Federal_District,Центральный федеральный округ,Костромская обл.,Kostromskaya,RU-KOS
11,Central_Federal_District,Центральный федеральный округ,Курская обл.,Kurskaya,RU-KRS
12,Central_Federal_District,Центральный федеральный округ,Орловская обл.,Orlovskaya,RU-ORL
13,Central_Federal_District,Центральный федеральный округ,Тульская обл.,Tulskaya,RU-TUL
14,Central_Federal_District,Центральный федеральный округ,Рязанская обл.,Razanskaya,RU-RYA
15,Central_Federal_District,Центральный федеральный округ,Белгородская обл.,Belgorodskaya,RU-BEL
16,Central_Federal_District,Центральный федеральный округ,Воронежская обл.,Voronezhskaya,RU-VOR
17,Central_Federal_District,Центральный федеральный округ,Липецкая обл.,Lipetskaya,RU-LIP
18,Central_Federal_District,Центральный федеральный округ,Тамбовская обл.,Tambovskaya,RU-TAM
19,Far_Eastern_Federal_District,Дальневосточный федеральный округ,Амурская обл.,Amurskaya,RU-AMU
20,Far_Eastern_Federal_District,Дальневосточный федеральный округ,Респ. Бурятия,Buryatia,RU-BU
21,Far_Eastern_Federal_District,Дальневосточный федеральный округ,Еврейская АО,Evreyskaya,RU-YEV
22,Far_Eastern_Federal_District,Дальневосточный федеральный округ,Забайкальский край,Zabaykalskiy,RU-ZAB
23,Far_Eastern_Federal_District,Дальневосточный федеральный округ,Камчатский край,Kamchatskiy,RU-KAM
24,Far_Eastern_Federal_District,Дальневосточный федеральный округ,Магаданская обл.,Magadanskaya,RU-MAG
25,Far_Eastern_Federal_District,Дальневосточный федеральный округ,Приморский край,Primorskiy,RU-PRI
26,Far_Eastern_Federal_District,Дальневосточный федеральный округ,Сахалинская обл.,Sahalinskaya,RU-SAK
27,Far_Eastern_Federal_District,Дальневосточный федеральный округ,Чукотский АО,Chukotskiy,RU-CHU
28,Far_Eastern_Federal_District,Дальневосточный федеральный округ,Хабаровский край,Habarovskiy,RU-KHA
29,Far_Eastern_Federal_District,Дальневосточный федеральный округ,Респ. Саха (Якутия),Yakutia,RU-SA
30,North_Caucasus_Federal_District,Северо-Кавказский федеральный округ,Респ. Дагестан,Dagestan,RU-DA
31,North_Caucasus_Federal_District,Северо-Кавказский федеральный округ,Чеченская Респ.,Chechnya,RU-CE
32,North_Caucasus_Federal_District,Северо-Кавказский федеральный округ,Респ. Ингушетия,Ingushetia,RU-IN
33,North_Caucasus_Federal_District,Северо-Кавказский федеральный округ,Респ. Северная Осетия–Алания,SevernayaOsetia,RU-SE
