id,map,region,district,district_key,iso_okato
1,Altai_Territory,Алтайский край   ,Павловский,_Pavlovsky,RU-ALT-01230000000
2,Altai_Territory,Алтайский край   ,Косихинский,_Kosikhinsky,RU-ALT-01218000000
3,Altai_Territory,Алтайский край   ,Кытмановский,_Kytmanovsky,RU-ALT-01224000000
4,Altai_Territory,Алтайский край   ,Заринский,_Zarinsky,RU-ALT-01204824000
5,Altai_Territory,Алтайский край   ,Залесовский,_Zalesovsky,RU-ALT-53223804000
6,Altai_Territory,Алтайский край   ,Тальменский,_Talmensky,RU-ALT-01247000000
7,Altai_Territory,Алтайский край   ,Калманский,_Kalmansky,RU-ALT-01215000000
8,Altai_Territory,Алтайский край   ,Первомайский,_Pervomaisky,RU-ALT-01232000000
9,Altai_Territory,Алтайский край   ,Тогульский,_Togulsky,RU-ALT-01248000000
10,Altai_Territory,Алтайский край   ,Троицкий,_Troitsky,RU-ALT-01251000000
11,Altai_Territory,Алтайский край   ,Целинный,_Celinny,RU-ALT-01257000000
12,Altai_Territory,Алтайский край   ,Солтонский,_Soltonsky,RU-ALT-01244000000
13,Altai_Territory,Алтайский край   ,Зональный,_Zonalny,RU-ALT-01229000000
14,Altai_Territory,Алтайский край   ,Красногорский,_Krasnogorsky,RU-ALT-01219000000
15,Altai_Territory,Алтайский край   ,Бийский,_Biysky,RU-ALT-01204000000
16,Altai_Territory,Алтайский край   ,Угловский,_Uglovsky,RU-ALT-01253000000
17,Altai_Territory,Алтайский край   ,Рубцовский,_Rubtsovsky,RU-ALT-01238000000
18,Altai_Territory,Алтайский край   ,Змеиногорский,_Zmeinogorsky,RU-ALT-01214000000
19,Altai_Territory,Алтайский край   ,Локтевский,_Loktevsky,RU-ALT-01225000000
20,Altai_Territory,Алтайский край   ,Третьяковский,_Tretyakovsky,RU-ALT-01250000000
21,Altai_Territory,Алтайский край   ,Чарышский,_Charyshsky,RU-ALT-01254866000
22,Altai_Territory,Алтайский край   ,Краснощёковский,_Krasnoshchekovsky,RU-ALT-01220000000
23,Altai_Territory,Алтайский край   ,Курьинский,_Kurinsky,RU-ALT-01223000000
24,Altai_Territory,Алтайский край   ,Солонешенский,_Soloneshensky,RU-ALT-01243000000
25,Altai_Territory,Алтайский край   ,Усть-Калманский,_Ust-Kalmansky,RU-ALT-01254000000
26,Altai_Territory,Алтайский край   ,Топчихинский,_Topchikhinsky,RU-ALT-01249000000
27,Altai_Territory,Алтайский край   ,Петропавловский,_Petropavlovsky,RU-ALT-01233000000
28,Altai_Territory,Алтайский край   ,Усть-Пристанский,_Ust-Pristansky,RU-ALT-01255000000
29,Altai_Territory,Алтайский край   ,Алтайский,_Altaisky,RU-ALT-01202000000
30,Altai_Territory,Алтайский край   ,Смоленский,_Smolensky,RU-ALT-01240000000
31,Altai_Territory,Алтайский край   ,Быстроистокский,_Bystroistoksky,RU-ALT-01207000000
32,Altai_Territory,Алтайский край   ,Советский,_Sovetsky,RU-ALT-01242000000
33,Altai_Territory,Алтайский край   ,Немецкий национальный,_Nemetsky Natsionalny,RU-ALT-01260000000
34,Altai_Territory,Алтайский край   ,Бурлинский,_Burlinsky,RU-ALT-01206000000
35,Altai_Territory,Алтайский край   ,Славгород,_Slavgorod,RU-ALT-01419000000
36,Altai_Territory,Алтайский край   ,Табунский,_Tabunsky,RU-ALT-01246000000
37,Altai_Territory,Алтайский край   ,Хабарский,_Khabarsky,RU-ALT-01256000000
38,Altai_Territory,Алтайский край   ,Суетский,_Suyetskiy,RU-ALT-01241000000
39,Altai_Territory,Алтайский край   ,Благовещенский,_Blagoveshchenskiy,RU-ALT-01205000000
40,Altai_Territory,Алтайский край   ,Завьяловский,_Zavyalovsky,RU-ALT-01211000000
41,Altai_Territory,Алтайский край   ,Баевский,_Baevsky,RU-ALT-01203000000
42,Altai_Territory,Алтайский край   ,Панкрушихинский,_Pankrushikhinsky,RU-ALT-01231000000
43,Altai_Territory,Алтайский край   ,Каменский,_Kamensky,RU-ALT-01216000000
44,Altai_Territory,Алтайский край   ,Крутихинский,_Krutikhinsky,RU-ALT-01221000000
45,Altai_Territory,Алтайский край   ,Тюменцевский,_Tyumentsevsky,RU-ALT-01252000000
46,Altai_Territory,Алтайский край   ,Шелаболихинский,_Shelabolikhinsky,RU-ALT-01245000000
47,Altai_Territory,Алтайский край   ,Кулундинский,_Kulundinsky,RU-ALT-01222000000
48,Altai_Territory,Алтайский край   ,Родинский,_Rodinsky,RU-ALT-01236000000
49,Altai_Territory,Алтайский край   ,Ключевский,_Klyuchevsky,RU-ALT-01249820000
50,Altai_Territory,Алтайский край   ,Михайловский,_Mikhailovsky,RU-ALT-01227000000
51,Altai_Territory,Алтайский край   ,Волчихинский,_Volchikhinsky,RU-ALT-01208000000
52,Altai_Territory,Алтайский край   ,Егорьевский,_Egorievsky,RU-ALT-01209000000
53,Altai_Territory,Алтайский край   ,Поспелихинский,_Pospelikhinsky,RU-ALT-01234000000
54,Altai_Territory,Алтайский край   ,Новичихинский,_Novichikhinsky,RU-ALT-01228000000
55,Altai_Territory,Алтайский край   ,Шипуновский,_Shipunovsky,RU-ALT-01259000000
56,Altai_Territory,Алтайский край   ,Романовский,_Romanovsky,RU-ALT-01237000000
57,Altai_Territory,Алтайский край   ,Мамонтовский,_Mamontovsky,RU-ALT-01226000000
58,Altai_Territory,Алтайский край   ,Ребрихинский,_Rebrikhinsky,RU-ALT-01235000000
59,Altai_Territory,Алтайский край   ,Алейский,_Aleisky,RU-ALT-01201000000
60,Altai_Territory,Алтайский край   ,Барнаул,_Barnaul,RU-ALT-01401000000
61,Altai_Territory,Алтайский край   ,Новоалтайск,Novoaltaisk,RU-ALT-01413000000
62,Altai_Territory,Алтайский край   ,Алейск,Aleisk,RU-ALT-01403000000
63,Altai_Territory,Алтайский край   ,Заринск,Zarinsk,RU-ALT-01406000000
64,Altai_Territory,Алтайский край   ,Ельцовский,_Yeltsovsky,RU-ALT-01210000000
65,Altai_Territory,Алтайский край   ,Бийск,Biysk,RU-ALT-01405000000
66,Altai_Territory,Алтайский край   ,Белокуриха,Belokurikha,RU-ALT-01404000000
67,Altai_Territory,Алтайский край   ,ЗАТО Сибирский,_ZATOSebirsky,RU-ALT-01555000000
68,Altai_Territory,Алтайский край   ,Горняк,Gornyak,RU-ALT-01225501000
69,Altai_Territory,Алтайский край   ,Змеиногорск,Zmeinogorsk,RU-ALT-01214501000
70,Altai_Territory,Алтайский край   ,Рубцовск,Rubtsovsk,RU-ALT-01416000000
71,Altai_Territory,Алтайский край   ,Яровое,Yarovoe,RU-ALT-01430000000
72,Arkhangelsk_Region,Архангельская область   ,Приморский район,Primorsky,RU-ARK-11252000000
73,Arkhangelsk_Region,Архангельская область   ,Архангельск,Arkhangelsk,RU-ARK-11401000000
74,Arkhangelsk_Region,Архангельская область   ,Северодвинск,Severodvinsk,RU-ARK-11430000000
75,Arkhangelsk_Region,Архангельская область   ,Вилегодский район,Vilegodsky,RU-ARK-11211000000
76,Arkhangelsk_Region,Архангельская область   ,Красноборский район,Krasnoborsky,RU-ARK-11230000000
77,Arkhangelsk_Region,Архангельская область   ,Коношский район,Konoshsky,RU-ARK-11222000000
78,Arkhangelsk_Region,Архангельская область   ,Вельский район,Velsky,RU-ARK-11205000000
79,Arkhangelsk_Region,Архангельская область   ,Котласский район,Kotlassky,RU-ARK-11227000000
80,Arkhangelsk_Region,Архангельская область   ,Мезенский район,Mezensky,RU-ARK-11242000000
81,Arkhangelsk_Region,Архангельская область   ,Каргопольский район,Kargopolsky,RU-ARK-11218000000
82,Arkhangelsk_Region,Архангельская область   ,Плесецкий район,Plesetsky,RU-ARK-11250000000
83,Arkhangelsk_Region,Архангельская область   ,Новодвинск,Novodvinsk,RU-ARK-11415000000
84,Arkhangelsk_Region,Архангельская область   ,Коряжма,Koryazhma,RU-ARK-11408000000
